A̱o,Lenguaje,Enero,Febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2005,Python,2.51%,2.42%,2.70%,2.48%,2.80%,2.52%,2.88%,3.03%,2.88%,2.82%,2.70%,2.68%
2005,C++,11.34%,10.04%,10.19%,9.90%,10.55%,11.06%,10.51%,11.17%,11.82%,12.50%,10.23%,11.03%
2005,Java,18.34%,18.87%,16.98%,17.40%,18.57%,19.66%,21.21%,22.44%,21.87%,21.53%,22.54%,22.13%
2005,C,19.82%,19.47%,18.63%,18.52%,19.37%,19.85%,19.47%,19.16%,18.77%,18.90%,19.20%,19.63%
2005,C#,2.36%,2.53%,2.82%,2.78%,3.14%,3.48%,3.48%,3.29%,3.46%,3.48%,3.29%,3.46%
2005,JavaScript,1.70%,1.78%,1.65%,1.64%,1.44%,1.39%,1.78%,1.92%,1.77%,2.04%,1.85%,1.54%
2005,Go,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2005,Fortran,0.52%,0.89%,1.05%,1.06%,0.82%,0.79%,0.59%,0.60%,0.64%,0.57%,0.50%,0.45%
2005,Visual Bassic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2005,SQL,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%
