Framework/Librería,Porcentaje
.NET,25.2%
NumPy,21.2%
Pandas,20.7%
.NET Framework,16.4%
Spring Framework,11.1%
RabbitMQ,10.9%
Scikit-Learn,10.6%
Torch/PyTorch,10.6%
TensorFlow,10.1%
Apache Kafka,9.4%
Flutter,9.4%
OpenCV,8.6%
React Native,8.4%
Qt,7.3%
OpenGL,6.8%
Electron,6.5%
CUDA,5.8%
Hugging Face Transformers,4.5%
Apache Spark,4.4%
SwiftUI,4.3%
Keras,4.3%
.NET MAUI,3.1%
Ruff,3%
Xamarin,2.9%
GTK,2.6%
Ionic,2.5%
Tauri,2.4%
Hadoop,2.3%
Cordova,2.2%
DirectX,1.9%
Capacitor,1.8%
OpenCL,1.7%
Tidyverse,1.7%
Roslyn,1.7%
Quarkus,1.3%
Ktor,1.2%
mlflow,1.2%
JAX,1%
MFC,1%